player_id,player_name,season,fbref_player,age,birth_year,nation,position,position_group,squad,competition,foot,height_in_cm,market_value_eur,highest_market_value_in_eur,valuation_date,tm_match_method,tm_match_score,source_file,MP,Starts,Min,90s,Gls_per90,Ast_per90,xG_per90,npxG_per90,xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90,Sh_per90,SoT_per90,KP_per90,PPA_per90,Tkl_per90,TklW_per90,Int_per90,Blocks_per90,Clr_per90,Touches_per90,Carries_per90,Mis_per90,Dis_per90,Rec_per90,Recov_per90,AerWon_per90,AerLost_per90
240306,Bruno Fernandes,2022_2023,Bruno Fernandes,28.0,1994,POR,MFFW,MF,Manchester Utd,Premier League,right,179.0,75000000,90000000,2023-06-20,exact_name_birth_year,100,2022-2023 Football Player Stats.csv,21.0,21.0,1888.0,21.0,0.23809523809523808,0.19,0.0,,0.0,1.9499999999999997,6.71,5.57,2.05,0.62,2.71,2.19,2.43,1.38,0.71,1.0,1.29,61.8,34.2,1.1,1.43,41.9,6.29,0.48,1.52
520624,Bruno Guimarães,2022_2023,Bruno Guimarães,25.0,1997,BRA,MF,MF,Newcastle Utd,Premier League,right,182.0,70000000,85000000,2023-06-20,exact_name_birth_year,100,2022-2023 Football Player Stats.csv,17.0,17.0,1397.0,15.5,0.1935483870967742,0.19,0.0,,0.0,1.1,7.1,0.77,0.9,0.32,1.16,1.87,2.45,1.23,1.35,1.29,0.84,67.0,42.8,1.29,2.32,48.5,8.13,0.58,0.39
199248,Bryan Cristante,2022_2023,Bryan Cristante,27.0,1995,ITA,MF,MF,Roma,Serie A,right,186.0,20000000,25000000,2023-06-15,exact_name_birth_year,100,2022-2023 Football Player Stats.csv,22.0,22.0,1839.0,20.4,0.04901960784313726,0.0,0.0,,0.0,0.59,5.0,1.03,0.88,0.15,0.44,0.59,3.58,1.81,0.39,1.32,1.37,62.39999999999999,32.2,0.9300000000000002,0.39,41.0,6.67,1.81,1.18
413039,Bryan Mbeumo,2022_2023,Bryan Mbeumo,23.0,1999,CMR,FW,FW,Brentford,Premier League,left,171.0,35000000,40000000,2023-06-20,exact_name_birth_year,100,2022-2023 Football Player Stats.csv,22.0,22.0,1657.0,18.4,0.27173913043478265,0.11000000000000001,0.0,,0.0,1.74,2.39,6.41,1.9600000000000002,0.9200000000000002,1.36,1.36,0.6,0.33,0.22000000000000003,0.6,0.54,36.8,21.5,2.12,1.68,24.1,4.46,0.9200000000000002,1.79
433177,Bukayo Saka,2022_2023,Bukayo Saka,21.0,2001,ENG,FW,FW,Arsenal,Premier League,left,178.0,120000000,150000000,2023-06-20,exact_name_birth_year,100,2022-2023 Football Player Stats.csv,21.0,21.0,1801.0,20.0,0.35,0.4,0.0,,0.0,5.1,2.7,14.2,2.45,0.75,2.45,1.95,1.2,0.75,0.55,1.05,0.8,51.7,33.5,2.2,1.45,37.6,3.75,0.3,1.15
461833,Caleb Okoli,2022_2023,Caleb Okoli,21.0,2001,ITA,DF,DF,Atalanta,Serie A,right,191.0,10000000,10000000,2023-06-15,exact_name_birth_year,100,2022-2023 Football Player Stats.csv,13.0,9.0,845.0,9.4,0.0,0.0,0.0,,0.0,0.21,1.38,0.32,0.53,0.21,0.0,0.11,2.23,1.8100000000000003,2.77,0.9599999999999999,4.36,54.7,24.3,1.17,0.32,25.4,6.28,4.26,2.45
392768,Callum Hudson-Odoi,2022_2023,Callum Hudson-Odoi,22.0,2000,ENG,FWMF,MF,Leverkusen,Bundesliga,right,178.0,15000000,35000000,2023-06-22,exact_name_birth_year,100,2022-2023 Football Player Stats.csv,12.0,6.0,552.0,6.1,0.0,0.16,0.0,,0.0,4.43,4.92,6.07,0.33,0.0,2.13,1.15,0.8200000000000001,0.49,0.33,0.0,0.66,42.5,27.700000000000003,0.8200000000000001,2.13,35.4,3.93,0.0,0.66
123682,Callum Wilson,2022_2023,Callum Wilson,30.0,1992,ENG,FW,FW,Newcastle Utd,Premier League,right,180.0,16000000,30000000,2023-06-20,exact_name_birth_year,100,2022-2023 Football Player Stats.csv,16.0,14.0,1128.0,12.5,0.56,0.24,0.0,,0.0,1.6,1.04,6.0,3.28,1.36,0.96,0.32,0.56,0.08,0.08,0.08,0.32,22.0,13.1,3.28,1.68,17.4,1.52,1.12,2.56
284854,Carles Aleñá,2022_2023,Carles Aleñá,25.0,1998,ESP,MF,MF,Getafe,Liga,left,180.0,9000000,30000000,2023-06-13,exact_name_birth_year,100,2022-2023 Football Player Stats.csv,19.0,19.0,1455.0,16.2,0.1234567901234568,0.12,0.0,,0.0,0.9900000000000001,4.01,3.52,1.3,0.49,0.49,0.8,0.93,0.62,0.25,0.74,0.86,45.6,27.2,1.9800000000000002,1.05,33.6,4.81,0.56,1.3
282810,Carles Pérez,2022_2023,Carles Pérez,24.0,1998,ESP,MFFW,MF,Celta Vigo,Liga,left,173.0,5000000,10000000,2023-06-13,exact_name_birth_year,100,2022-2023 Football Player Stats.csv,19.0,9.0,858.0,9.5,0.0,0.32,0.0,,0.0,3.5799999999999996,2.11,6.840000000000001,2.21,0.53,1.16,0.53,1.37,0.84,0.21,1.37,0.53,40.3,27.2,2.63,1.37,30.2,3.5799999999999996,0.32,2.11
193784,Carlos Clerc,2022_2023,Carlos Clerc,30.0,1992,ESP,DFMF,DF,Elche,Liga,left,181.0,1500000,3000000,2023-06-13,exact_name_birth_year,100,2022-2023 Football Player Stats.csv,15.0,14.0,1172.0,13.0,0.0,0.08,0.0,,0.0,2.15,2.62,3.77,0.38,0.23,0.23,0.46,2.38,1.62,0.8499999999999999,0.92,2.69,58.5,29.4,1.23,0.77,32.8,4.31,0.46,0.54
